"puma2020","cz90","afactor"
"601312",37800,0.999770637412548
"601313",37800,0.129758567285505
"601305",37800,0.99957476853064
"601313",37800,0.668918032605546
"601308",37800,9.32774922509564e-05
"601313",37800,0.201323400108949
"601314",37800,0.999976930352649
"601308",37800,0.999906722507749
"601309",37800,0.000154285273470647
"601309",37800,0.999816786237754
"601500",36501,0.650735872376142
"601500",36901,0.204370403807637
"601500",37400,0.114479272501521
"601500",37603,0.0303927272952095
"4109200",36501,2.87911888498492e-05
"4109200",36901,9.0421738544398e-06
"4109200",37400,5.06502637075998e-06
"4109200",37603,1.34469727021987e-06
"601700",37400,1
"601901",37200,1
"601902",37200,1
"601903",37200,1
"601904",37200,1
"601905",37200,1
"601906",37200,1
"601907",37200,1
"602300",36700,1
"602500",38100,1
"602906",37100,0.999955168152118
"602907",37100,0.282580273298503
"602908",37100,0.0529513646165514
"603100",37100,1.96097658094016e-05
"602906",37100,3.2022748722295e-05
"602907",37100,0.717419726701497
"602908",37100,0.947048635383449
"602903",37100,0.999980663500781
"602904",37100,1
"602903",37100,1.93347395970542e-05
"602903",38300,1.75962150072518e-09
"602905",37100,0.999903632884526
"602905",38300,9.09995152634431e-05
"603100",37200,0.999980390234191
"603300",37700,1
"602906",38300,1.28090991596711e-05
"603704",38300,0.0340295794082756
"603705",38300,5.99046297842332e-06
"603709",38300,0.0119080984409175
"603710",38300,0.00062787542120465
"603771",38300,0.0588621409442345
"603772",38300,0.995142555316369
"603773",38300,0.205828080038322
"603771",38300,0.941137859055766
"603772",38300,0.00351348765827876
"603773",38300,0.794171919961678
"603703",38300,1
"603704",38300,0.965970420591724
"603772",38300,0.00133435733221606
"603705",38300,0.999994009537021
"603772",38300,9.59969313587013e-06
"603706",38300,1
"603707",38300,3.9742205786629e-05
"603707",38300,0.999960257794213
"603708",38300,1
"603709",38300,3.61673456686236e-05
"603719",38300,1.56474930275109e-05
"603709",38300,0.988019566866558
"603719",38300,0.00485072292636547
"603709",38300,3.61673468559658e-05
"603710",38300,0.966950415860768
"603711",38300,5.67651462354427e-05
"603710",38300,0.0227035306696542
"603711",38300,0.999943234853764
"603712",38300,0.00884045493363794
"607112",38300,8.26145781804088e-06
"603712",38300,0.987535966930008
"607112",38300,8.26145787842139e-06
"603713",38300,0.983903817288798
"603715",38300,4.22001458041071e-05
"603712",38300,0.00361685535626473
"603714",38300,1
"603715",38300,0.00135884469718601
"603716",38300,0.000128884960846251
"603713",38300,0.0160961827112023
"603715",38300,0.99859895515701
"603710",38300,0.00967372669074457
"603716",38300,0.999871115039154
"603710",38300,4.44513576281967e-05
"603717",38300,0.999978843254898
"603718",38300,2.2201993567243e-05
"603736",38300,9.58563898294157e-05
"603738",38300,0.00011369665489141
"603717",38300,1.05783725992427e-05
"603718",38300,0.999977798006433
"603736",38300,5.22853039479003e-05
"603719",38300,0.995029312959872
"603720",38300,0.000152359027230887
"603719",38300,9.91007896445428e-05
"603720",38300,0.999847640972769
"603721",38300,1
"603722",38300,1
"603723",38300,1
"603724",38300,1
"603725",38300,0.986959196579067
"603725",38300,0.0130408034209327
"603774",38300,0.694839912084267
"611109",38300,6.45692407109764e-05
"603728",38300,5.85983275833886e-05
"603774",38300,0.293575806371796
"603775",38300,1
"603728",38300,0.999941401672417
"603774",38300,0.000244984819395427
"603776",38300,0.000933426036344276
"603770",38300,0.999959107730364
"603774",38300,0.0113392967245416
"603776",38300,0.999066573963656
"603730",38300,1
"603770",38300,2.04461349866727e-05
"603731",38300,1
"603770",38300,2.04461346493104e-05
"603732",38300,1
"603733",38300,1
"603734",38300,1
"603719",38300,5.21583109046905e-06
"603735",38300,1
"603736",38300,2.61426522232241e-05
"603717",38300,1.05783725030715e-05
"603736",38300,0.999825715653999
"603737",38300,1
"603738",38300,0.00379746823723276
"603743",38300,1.61283814072752e-05
"603738",38300,0.995990298003754
"603739",38300,0.982299109310214
"603738",38300,9.85371041221343e-05
"603740",38300,0.999984449955926
"603741",38300,0.999971746623913
"603742",38300,0.0143673862003104
"603742",38300,0.98563261379969
"603751",38300,0.000431857594958063
"603752",38300,5.83505460518323e-06
"603741",38300,2.82533760874958e-05
"603743",38300,0.999983871618593
"603744",38300,1
"603745",38300,1
"603746",38300,1
"603747",38300,0.965639470600787
"603747",38300,0.0343605293992128
"603748",38300,1
"603759",38300,0.00023005794641214
"603778",38300,0.999991202603628
"603750",38300,1
"603751",38300,0.999568142405042
"603752",38300,0.999877463853291
"603753",38300,1
"603739",38300,0.0177008906897865
"603740",38300,1.55500440741455e-05
"603754",38300,0.998213655868192
"605907",38300,1.58196988192286e-05
"603754",38300,0.00178634413180835
"603781",38300,0.999990707528059
"603782",38300,0.102163698738234
"603763",38300,8.46716145709448e-05
"603782",38300,0.897836301261766
"603752",38300,0.000116701092103665
"603757",38300,1
"603762",38300,0.0102080190830259
"603758",38300,1
"603759",38300,0.999769942053588
"603778",38300,8.79739637225658e-06
"603760",38300,0.99976820831845
"603761",38300,0.000159569796773648
"603760",38300,0.000210061211499373
"603761",38300,0.999840430203226
"603768",38300,2.69171759789214e-05
"603762",38300,0.989423650330884
"603762",38300,0.000368330586090082
"603763",38300,0.999915328385429
"603764",38300,0.00541263506424359
"603764",38300,0.99449361259764
"603781",38300,9.29247194083462e-06
"603764",38300,1.87504679996601e-05
"603779",38300,0.999765088706657
"603780",38300,0.131037159235321
"603766",38300,1
"603767",38300,1
"603760",38300,2.17304700509526e-05
"603768",38300,0.999973082824021
"603780",38300,0.868962840764679
"603900",37200,1
"604103",37800,0.999578930483428
"604104",37800,0.03368858204018
"604103",37800,0.000421069516572093
"604104",37800,0.96631141795982
